Κωδικός,Πιάτο,Ποσότητα,Παλιά τιμή,Νέα τιμή,Διαφορά
1,"Tropical γιαούρτι 2% με ανανά, flakes καρύδας, lime και μέντα","Tropical γιαούρτι 2% (170γρ), Ντιπάκι μελιού (20γρ)","5,90€","5,50€","-0,40€"
2,"Γιαούρτι 2% με φουντουκοβούτυρο, granola και blueberries","Γιαούρτι 2% με βούτυρο φουντουκιού (170γρ), Ντιπάκι μελιού (20γρ)","5,90€","6,50€","0,60€"
7,Brioche γεμιστό με τονοσαλάτα,Brioche ψωμάκι γεμιστό με τόνο (60γρ),"4,50€","3,90€","-0,60€"
12,Γιαούρτι 2% με σπιτική granola και αποξηραμένα φρούτα,Γιαούρτι 2% και σπιτική granola (200γρ),"5,50€","4,90€","-0,60€"
14,Μεξικάνικη ομελέτα φούρνου με chorizo,Μεξικάνικη ομελέτα (230γρ),"7,50€","6,90€","-0,60€"
17,Ελληνική ομελέτα φούρνου με λαχανικά,Ελληνική ομελέτα (150γρ),"5,50€","4,90€","-0,60€"
20,Sugar free Bitter cake με σοκολάτα,Bitter cake (85γρ),"3,90€","3,50€","-0,40€"
24,Γιαούρτι 2% με μέλι φρούτα και ξηρούς καρπούς,"Γιαούρτι 2% με μέλι (170γρ), Ντιπάκι μελιού (20γρ)","5,40€","5,50€","0,10€"
25,Pancakes βρώμης με φυστικοβούτυρο και μέλι,"Pancakes βρώμης με φυστικοβούτυρο (100γρ), Ντιπάκι μελιού (30γρ)","6,50€","5,90€","-0,60€"
36,Pancakes βρώμης με σιρόπι σφενδάμου και berries,"Pancakes βρώμης με σιρόπι σφενδάμου (100γρ), Ντιπάκι σφενδάμου (30γρ)","6,50€","5,90€","-0,60€"
41,Fitpal Energy Ball με χουρμάδες,Energy ball με φουντούκι (40γρ),"2,90€","3,50€","0,60€"
46,Sugar free chocolate cake,Κέικ με κακάο (70γρ),"3,90€","3,50€","-0,40€"
47,Φρουτοσαλάτα εποχής,Φρουτοσαλάτα (265γρ),"3,40€","3,90€","0,50€"
48,Sugar free cake βανίλιας με σταγόνες μαύρης σοκολάτας,Κέικ βανίλιας (70γρ),"3,90€","3,50€","-0,40€"
50,Sugar free Lemon poppy seeds cake,Κέικ λεμονιού (70γρ),"3,90€","3,50€","-0,40€"
51,Ισπανική ομελέτα φούρνου με λαχανικά,Ισπανική ομελέτα (180γρ),"5,50€","4,90€","-0,60€"
54,Fitpal Cookies με κρέμα φουντουκιού και σοκολάτα,Cookies με κρέμα φουντουκιού (50γρ),"2,90€","3,30€","0,40€"
58,Fitpal Bar με φουντουκοβούτυρο και σοκολάτα,Μπάρα με φουντουκοβούτυρο και μαύρη σοκολάτα (50γρ),"2,90€","3,90€","1,00€"
61,Blueberry chia pudding με γάλα αμυγδάλου,"Blueberry-almond milk chia pudding (200γρ), Ντιπάκι μελιού (20γρ)","5,90€","6,90€","1,00€"
64,Bagel ζέας με καπνιστό σολομό,Bagel ζέας με καπνιστό σολομό (120γρ),"6,90€","7,90€","1,00€"
74,Ατομική πράσινη σαλάτα με τοματίνια και αγγούρι,"Ατομική σαλάτα (180γρ), Dressing (20γρ)","2,90€","3,90€","1,00€"
88,"Σαλάτα με φινόκιο, αγκινάρα και μαυρομάτικα","Φινόκιο (100γρ), Αγκινάρα (60γρ)","8,50€","7,90€","-0,60€"
93,Στραπατσάδα bowl με γαλοπούλα και ανθότυρο,Στραπατσάδα (160γρ),"8,90€","7,90€","-1,00€"
101,Ατομική σαλάτα με βραστά λαχανικά και ελαιόλαδο,"Ατομική σαλάτα (200γρ), Dressing (20γρ)","3,90€","4,90€","1,00€"
221,Pancakes με κρέμα cheesecake και μαρμελάδα φράουλα,Pancakes βρώμης με κρέμα cheesecake (100γρ),"6,90€","6,50€","-0,40€"
236,Fitpal Bar με φιστίκι Αιγίνης και λευκή σοκολάτα,Μπάρα με φιστίκι Αιγίνης και λευκή σοκολάτα (50γρ),"2,90€","3,50€","0,60€"
241,"Γιαούρτι 2% με βρώμη, πορτοκάλι και μαύρη σοκολάτα",Γιαούρτι 2% με βρώμη (170γρ),"5,90€","5,50€","-0,40€"
254,Sugar free Cheesecake φούρνου,Cheesecake φούρνου (150γρ),"5,50€","4,90€","-0,60€"
260,"Ομελέτα φούρνου με γλυκοπατάτες, φέτα light και σπανάκι",Ομελέτα φούρνου με γλυκοπατάτες (200γρ),"6,50€","5,50€","-1,00€"
281,Healthy cheesecake με μαρμελάδα βύσσινο,Healthy cheesecake (160γρ),"5,50€","4,90€","-0,60€"
301,"Mango Salmon Bowl με ρύζι basmati, σολομός σχάρας, πράσινη σαλάτα, κάσιους, guacamole, ντοματίνια, πίκλα κόκκινο λάχανο και mango-lime dressing","Ρύζι (110γρ), Σολομός (90γρ), Λαχανικά (30γρ), Κάσιους (10γρ), Guacamole (20γρ), Ντοματίνια (30γρ), Πίκλα κόκκινο λάχανο (30γρ), Mango Lime Dressing (30γρ)","14,90€","12,90€","-2,00€"
302,"Steak Protein Bowl με ρύζι basmati, μοσχάρι σχάρας, πράσινη σαλάτα, χούμους, ντοματίνια, broccoli coleslaw, κόκκινο λάχανο πίκλα και dressing βαλσάμικο","Ρύζι (110γρ), Μοσχάρι (90γρ), Λαχανικά (30γρ), Χούμους (40γρ), Ντοματίνια (30γρ), Coleslaw broccoli (50γρ), Πίκλα κόκκινο λάχανο (30γρ), Dressing βαλσάμικο (35γρ)","9,90€","14,90€","5,00€"
303,"Steakhouse Bowl με καστανό ρύζι, μοσχάρι σχάρας, πράσινη σαλάτα, feta chili cream, αγγούρι, crispy onion και garlic aioli dressing","Καστανό ρύζι (110γρ), Μοσχάρι (90γρ), Λαχανικά (30γρ), Feta Chili Cream (40γρ), Αγγούρι (30γρ), Crispy Onios (15γρ), Garlic Aioli Dressing (30γρ)","8,50€","15,50€","7,00€"
305,"Falafel Vegan Bowl ρύζι basmati, falafel φούρνου, τόφου, πράσινη σαλάτα, χούμους, αγγούρι, πίκλα κόκκινο λάχανο, broccolli vegan coleslaw και tahini-soy dressing","Ρύζι (110γρ), Φαλάφελ (90γρ), Τόφου (30γρ), Λαχανικά (30γρ), Χούμους (20γρ), Αγγούρι (30γρ), Πίκλα κόκκινο λάχανο (30γρ), Coleslaw broccoli Vegan (50γρ), Tahini Soy Dressing (35γρ)","9,50€","8,50€","-1,00€"
306,"Vegan Power Bowl με καστανό ρύζι, ψητά λαχανικά, πράσινη σαλάτα, μπρόκολο, χούμους, αβοκάντο,
ντοματίνια και olive oil lemon dressing","Καστανό ρύζι (110γρ), Λαχανικά ψητά (80γρ), Λαχανικά ωμά (30γρ), Μπρόκολο (20γρ), Χούμους (20γρ), Αβοκάντο (30γρ), Ντοματίνια (30γρ), Olive Oil Lemon Dressing (30γρ)","12,90€","8,50€","-4,40€"
307,"Sweet Potato Chicken Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, γλυκοπατάτα ψητή, χούμους, αγγούρι, φιστίκι και yogurt dressing","Ρύζι (110γρ), Κοτόπουλο στήθος (90γρ), Λαχανικά (30γρ), Γλυκοπατάτα (70γρ), Χούμους (40γρ), Αγγούρι (30γρ), Φυστίκι αιγίνης (10γρ), Yogurt Dressing (35γρ)","14,90€","9,50€","-5,40€"
308,"Avocado Chicken Bowl με καστανό ρύζι, κοτόπουλο σχάρας, πράσινη σαλάτα, guacamole, κολοκυθόσπορο, ντοματίνια, αγγούρι και mango-lime dressing","Καστανό ρύζι (110γρ), Κοτόπουλο στήθος (90γρ), Λαχανικά (30γρ), Guacamole (40γρ), Κολοκυθόσπορο (10γρ), Ντοματίνια (30γρ), Αγγούρι (30γρ), Mango Lime Dressing (35γρ)","8,50€","9,90€","1,40€"
309,"Protein Mix Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, τόνος, χούμους, ντοματίνια, αγγούρι, κόλιανδρο, πίκλα κόκκινο κρεμμύδι και olive oil lemon dressing","Ρύζι (110γρ), Κοτόπουλο στήθος (60γρ), Λαχανικά (30γρ), Τόνος (60γρ), Χούμους (40γρ), Ντοματίνια (30γρ), Αγγούρι (30γρ), Κόλιανδρος (5γρ), Πίκλα κόκκινο λάχανο (15γρ), Olive Oil Lemon Dressing (30γρ)","9,50€","9,90€","0,40€"
310,"Green Fitness Bowl με πράσινη σαλάτα, φαγόπυρο, κινόα, κοτόπουλο σχάρας, αβοκάντο,
αγγούρι, φράουλες, ντοματίνια και olive oil lemon dressing","Λαχανικά (40γρ), Φαγόπυρο (40γρ), Κινόα (90γρ), Κοτόπουλο στήθος (90γρ), Αβοκάντο (30γρ), Αγγούρι (30γρ), Φράουλα (20γρ), Ντοματίνια (30γρ), Olive Oil Lemon Dressing (30γρ)","9,90€","9,50€","-0,40€"
5-2,Roast Beef Sandwich με ψωμί ολικής και γραβίερα light,"Ψωμί ολικής (120γρ), Φιλέτο μοσχάρι (60γρ)","8,50€","8,90€","0,40€"
6-1,Roast Beef Sandwich με ψωμί ολικής και horseradish,"Ψωμί ολικής (60γρ), Φιλέτο μοσχάρι (60γρ), Horseradish (8γρ)","6,50€","7,50€","1,00€"
6-2,Roast Beef Sandwich με ψωμί ολικής και horseradish,"Ψωμί ολικής (120γρ), Φιλέτο μοσχάρι (90γρ), Horseradish (15γρ)","7,90€","9,90€","2,00€"
8-2,"Wrap ολικής με κοτοσαλάτα, καλαμπόκι, αμύγδαλα και γιαούρτι 2%",Chicken Salad Wrap με φιλέτο κοτόπουλο (90γρ),"6,50€","6,90€","0,40€"
9-2,Wrap ολικής με τονοσαλάτα και sweet chili,Wrap ολικής γεμιστό με τονοσαλάτα (90γρ),"6,90€","7,50€","0,60€"
18-1,"Wrap ολικής με falafel φούρνου, γιαούρτι 2% και sauce ταχίνι",Wrap ολικής με falafel φούρνου (60γρ),"4,90€","4,50€","-0,40€"
19-1,"Wrap ολικής με falafel φούρνου, vegan mayo και sauce ταχίνι",Wrap ολικής με falafel φούρνου και μαγιονέζα vegan (60γρ),"4,90€","4,50€","-0,40€"
19-2,"Wrap ολικής με falafel φούρνου, vegan mayo και sauce ταχίνι",Wrap ολικής με falafel φούρνου και μαγιονέζα vegan (90γρ),"5,90€","5,50€","-0,40€"
26-1,Ceasar salad wrap ολικής με στήθος κοτόπουλο,Caesar Wrap με φιλέτο κοτόπουλο (60γρ),"5,50€","5,90€","0,40€"
32-1,"Wrap ολικής με φιλέτο κοτόπουλο, αβοκάντο και κρέμα μουστάρδας","Wrap ολικής (60γρ), Φιλέτο κοτόπουλο (30γρ), Καλαμπόκι (10γρ)","4,50€","4,90€","0,40€"
62-1,Tofu Toast με guacamole με ψωμί ολικής,"Ψωμί ολικής (60γρ), Guacamole (30γρ), Tofu (40γρ)","5,50€","4,90€","-0,60€"
67-1,Original toast με ψωμί ολικής τυρί και γαλοπούλα,"Ψωμί ολικής (60γρ), Κίτρινο τυρί light (15γρ)","4,50€","3,90€","-0,60€"
70-1,Φιλέτο στήθος κοτόπουλο ψητό με σαλάτα ταμπουλέ,"Φιλέτο κοτόπουλο (120γρ), Ταμπουλέ (170γρ)","8,90€","8,50€","-0,40€"
70-2,Φιλέτο στήθος κοτόπουλο ψητό με σαλάτα ταμπουλέ,"Φιλέτο κοτόπουλο (150γρ), Ταμπουλέ (170γρ)","9,90€","9,50€","-0,40€"
70-3,Φιλέτο στήθος κοτόπουλο ψητό με σαλάτα ταμπουλέ,"Φιλέτο κοτόπουλο (180γρ), Ταμπουλέ (170γρ)","10,90€","10,50€","-0,40€"
70-4,Φιλέτο στήθος κοτόπουλο ψητό με σαλάτα ταμπουλέ,"Φιλέτο κοτόπουλο (210γρ), Ταμπουλέ (170γρ)","11,90€","11,50€","-0,40€"
72-1,Ceasar salad με φιλέτο κοτόπουλο,"Caesar σαλάτα με φιλέτο κοτόπουλο (30γρ), Dressing (70γρ)","9,50€","8,90€","-0,60€"
72-2,Ceasar salad με φιλέτο κοτόπουλο,"Caesar σαλάτα με φιλέτο κοτόπουλο (60γρ), Dressing (70γρ)","8,90€","9,40€","0,50€"
73-1,"Σαλάτα με μανιτάρια, φέτα light, χόρτα και φυστίκι Αιγίνης","Ψητά μανιτάρια (200γρ), Φέτα light (30γρ), Dressing (20γρ)","8,90€","9,90€","1,00€"
73-2,"Σαλάτα με μανιτάρια, φέτα light, χόρτα και φυστίκι Αιγίνης","Ψητά μανιτάρια (200γρ), Φέτα light (60γρ), Dressing (20γρ)","9,90€","10,90€","1,00€"
73-3,"Σαλάτα με μανιτάρια, φέτα light, χόρτα και φυστίκι Αιγίνης","Ψητά μανιτάρια (200γρ), Φέτα light (90γρ), Dressing (20γρ)","10,90€","11,90€","1,00€"
81-2,Cobb salad με φιλέτο κοτόπουλο και αυγό βραστό,"Cobb salad με φιλέτο κοτόπουλο (60γρ), Κατίκι (30γρ), Dressing (20γρ)","9,90€","9,40€","-0,50€"
81-3,Cobb salad με φιλέτο κοτόπουλο και αυγό βραστό,"Cobb salad με φιλέτο κοτόπουλο (60γρ), Κατίκι (60γρ), Dressing (20γρ)","10,90€","9,90€","-1,00€"
89-2,Caprese με τοματίνια και μοτσαρέλα,"Caprese με μοτσαρέλα (60γρ), Dressing (20γρ)","8,90€","8,40€","-0,50€"
89-3,Caprese με τοματίνια και μοτσαρέλα,"Caprese με μοτσαρέλα (90γρ), Dressing (20γρ)","9,90€","8,90€","-1,00€"
91-1,Mediterranean tuna salad,Mediterranean Tuna salad (60γρ),"8,90€","8,50€","-0,40€"
91-2,Mediterranean tuna salad,Mediterranean Tuna salad (90γρ),"9,90€","9,50€","-0,40€"
91-3,Mediterranean tuna salad,Mediterranean Tuna salad (120γρ),"10,90€","10,50€","-0,40€"
94-2,"Salmon bowl με ψητό σολομό, μάυρο ρύζι και κινόα",Salmon bowl (90γρ),"12,50€","12,90€","0,40€"
94-3,"Salmon bowl με ψητό σολομό, μάυρο ρύζι και κινόα",Salmon bowl (120γρ),"13,90€","14,90€","1,00€"
100-4,Φακές σαλάτα με μαύρο ρύζι και κατίκι Δομοκού,"Φακές σαλάτα (300γρ), Κατίκι Δομοκού (30γρ)","7,90€","8,40€","0,50€"
100-5,Φακές σαλάτα με μαύρο ρύζι και κατίκι Δομοκού,"Φακές σαλάτα (300γρ), Κατίκι Δομοκού (60γρ)","8,50€","8,90€","0,40€"
100-6,Φακές σαλάτα με μαύρο ρύζι και κατίκι Δομοκού,"Φακές σαλάτα (300γρ), Κατίκι Δομοκού (90γρ)","8,90€","9,40€","0,50€"
107-2,Chicken Curry Salad,Chicken curry salad (90γρ),"9,90€","9,40€","-0,50€"
107-3,Chicken Curry Salad,Chicken curry salad (120γρ),"10,90€","9,90€","-1,00€"
109-1,"Σαλάτα με ψητά λαχανικά, ανθότυρο, φαγόπυρο και φιστίκι Αιγίνης","Ψητά λαχανικά (150γρ), Ανθότυρο (30γρ), Dressing (20γρ)","8,50€","9,40€","0,90€"
109-2,"Σαλάτα με ψητά λαχανικά, ανθότυρο, φαγόπυρο και φιστίκι Αιγίνης","Ψητά λαχανικά (150γρ), Ανθότυρο (60γρ), Dressing (20γρ)","8,90€","9,90€","1,00€"
109-3,"Σαλάτα με ψητά λαχανικά, ανθότυρο, φαγόπυρο και φιστίκι Αιγίνης","Ψητά λαχανικά (150γρ), Ανθότυρο (90γρ), Dressing (20γρ)","9,50€","10,40€","0,90€"
111-2,Ιμάμ μελιτζάνας με φέτα light,"Ιμάμ (230γρ), Φέτα light (60γρ)","7,50€","7,40€","-0,10€"
111-3,Ιμάμ μελιτζάνας με φέτα light,"Ιμάμ (340γρ), Φέτα light (30γρ)","7,50€","7,40€","-0,10€"
111-5,Ιμάμ μελιτζάνας με φέτα light,"Ιμάμ (340γρ), Φέτα light (90γρ)","8,50€","8,40€","-0,10€"
111-6,Ιμάμ μελιτζάνας με φέτα light,"Ιμάμ (450γρ), Φέτα light (30γρ)","8,90€","8,40€","-0,50€"
111-8,Ιμάμ μελιτζάνας με φέτα light,"Ιμάμ (450γρ), Φέτα light (90γρ)","9,50€","9,40€","-0,10€"
111-9,Ιμάμ μελιτζάνας με φέτα light,"Ιμάμ (560γρ), Φέτα light (60γρ)","9,50€","9,40€","-0,10€"
112-2,"Λαχανόρυζο με ντομάτα, μυρωδικά και φέτα light","Λαχανόρυζο (280γρ), Φέτα light (60γρ)","7,50€","7,40€","-0,10€"
112-3,"Λαχανόρυζο με ντομάτα, μυρωδικά και φέτα light","Λαχανόρυζο (380γρ), Φέτα light (30γρ)","7,50€","7,40€","-0,10€"
112-5,"Λαχανόρυζο με ντομάτα, μυρωδικά και φέτα light","Λαχανόρυζο (380γρ), Φέτα light (90γρ)","8,50€","8,40€","-0,10€"
112-6,"Λαχανόρυζο με ντομάτα, μυρωδικά και φέτα light","Λαχανόρυζο (460γρ), Φέτα light (30γρ)","8,90€","8,40€","-0,50€"
112-8,"Λαχανόρυζο με ντομάτα, μυρωδικά και φέτα light","Λαχανόρυζο (460γρ), Φέτα light (90γρ)","9,50€","9,40€","-0,10€"
112-9,"Λαχανόρυζο με ντομάτα, μυρωδικά και φέτα light","Λαχανόρυζο (560γρ), Φέτα light (60γρ)","9,50€","9,40€","-0,10€"
113-2,Φασολάδα παραδοσιακή με φέτα light,"Φασολάδα (250γρ), Φέτα light (60γρ)","7,50€","7,40€","-0,10€"
113-3,Φασολάδα παραδοσιακή με φέτα light,"Φασολάδα (300γρ), Φέτα light (30γρ)","7,50€","7,40€","-0,10€"
113-5,Φασολάδα παραδοσιακή με φέτα light,"Φασολάδα (300γρ), Φέτα light (90γρ)","8,50€","8,40€","-0,10€"
113-6,Φασολάδα παραδοσιακή με φέτα light,"Φασολάδα (350γρ), Φέτα light (30γρ)","8,90€","8,40€","-0,50€"
113-8,Φασολάδα παραδοσιακή με φέτα light,"Φασολάδα (350γρ), Φέτα light (90γρ)","9,50€","9,40€","-0,10€"
113-9,Φασολάδα παραδοσιακή με φέτα light,"Φασολάδα (400γρ), Φέτα light (60γρ)","9,50€","9,40€","-0,10€"
115-2,"Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα light","Ρεβίθια σούπα (250γρ), Φέτα light (60γρ)","7,50€","7,40€","-0,10€"
115-3,"Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα light","Ρεβίθια σούπα (300γρ), Φέτα light (30γρ)","7,50€","7,40€","-0,10€"
115-5,"Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα light","Ρεβίθια σούπα (300γρ), Φέτα light (90γρ)","8,50€","8,40€","-0,10€"
115-6,"Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα light","Ρεβίθια σούπα (350γρ), Φέτα light (30γρ)","8,90€","8,40€","-0,50€"
115-8,"Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα light","Ρεβίθια σούπα (350γρ), Φέτα light (90γρ)","9,50€","9,40€","-0,10€"
115-9,"Ρεβίθια σούπα με δενδρολίβανο, καρότα και φέτα light","Ρεβίθια σούπα (400γρ), Φέτα light (60γρ)","9,50€","9,40€","-0,10€"
117-1,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (120γρ), Ρύζι basmati (60γρ)","8,50€","8,40€","-0,10€"
117-3,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (120γρ), Ρύζι basmati (180γρ)","9,50€","9,40€","-0,10€"
117-4,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (150γρ), Ρύζι basmati (60γρ)","9,50€","9,40€","-0,10€"
117-6,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (150γρ), Ρύζι basmati (180γρ)","10,50€","10,40€","-0,10€"
117-7,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (180γρ), Ρύζι basmati (120γρ)","10,50€","10,40€","-0,10€"
117-9,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (180γρ), Ρύζι basmati (240γρ)","11,50€","11,40€","-0,10€"
119-2,"Noodles με ψητό σολομό, σπανάκι και teriyaki sauce","Noodles αυγού (200γρ), Σολομός ψητός (120γρ)","15,50€","15,90€","0,40€"
120-1,Κριθαράκι ολικής με κινόα και λαχανικά,Κριθαράκι ολικής με πολύχρωμη κινόα (300γρ),"7,90€","6,90€","-1,00€"
120-2,Κριθαράκι ολικής με κινόα και λαχανικά,Κριθαράκι ολικής με πολύχρωμη κινόα (350γρ),"8,50€","7,40€","-1,10€"
120-3,Κριθαράκι ολικής με κινόα και λαχανικά,Κριθαράκι ολικής με πολύχρωμη κινόα (400γρ),"8,90€","7,90€","-1,00€"
124-1,Κολοκυθοκεφτέδες φούρνου με ψητά λαχανικά και φέτα light,Κολοκυθοκεφτέδες (180γρ),"7,90€","8,50€","0,60€"
124-3,Κολοκυθοκεφτέδες φούρνου με ψητά λαχανικά και φέτα light,Κολοκυθοκεφτέδες (300γρ),"9,90€","9,50€","-0,40€"
125-2,"Άγριο ρύζι με μπρόκολο, σπανάκι, τόφου και teriyaki sauce",Άγριο ρύζι με μπρόκολο (380γρ),"8,40€","8,50€","0,10€"
127-1,Σούπα Borscht με μοσχάρο και τυρί κρέμα light,Σούπα Borscht (350γρ),"9,90€","11,50€","1,60€"
127-2,Σούπα Borscht με μοσχάρο και τυρί κρέμα light,Σούπα Borscht (400γρ),"10,90€","12,50€","1,60€"
127-3,Σούπα Borscht με μοσχάρο και τυρί κρέμα light,Σούπα Borscht (450γρ),"11,90€","13,50€","1,60€"
128-1,"Σούπα βελουτέ κολοκύθας, κάστανο και σπιτικά κρουτόν","Σούπα (300γρ), Κρουτόν (20γρ)","7,50€","7,90€","0,40€"
128-2,"Σούπα βελουτέ κολοκύθας, κάστανο και σπιτικά κρουτόν","Σούπα (350γρ), Κρουτόν (20γρ)","7,90€","8,50€","0,60€"
128-3,"Σούπα βελουτέ κολοκύθας, κάστανο και σπιτικά κρουτόν","Σούπα (400γρ), Κρουτόν (20γρ)","8,50€","8,90€","0,40€"
129-1,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (120γρ), Άγριο ρύζι (60γρ)","8,50€","8,40€","-0,10€"
129-3,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (120γρ), Άγριο ρύζι (180γρ)","9,50€","9,40€","-0,10€"
129-4,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (150γρ), Άγριο ρύζι (60γρ)","9,50€","9,40€","-0,10€"
129-6,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (150γρ), Άγριο ρύζι (180γρ)","10,50€","10,40€","-0,10€"
129-7,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (180γρ), Άγριο ρύζι (120γρ)","10,50€","10,40€","-0,10€"
129-9,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (180γρ), Άγριο ρύζι (240γρ)","11,50€","11,40€","-0,10€"
130-1,"Spicy κουνουπίδι με χαλούμι, σπανάκι και άγριο ρύζι","Κουνουπίδι (90γρ), Χαλούμι (40γρ), Άγριο ρύζι (120γρ)","7,90€","7,50€","-0,40€"
130-2,"Spicy κουνουπίδι με χαλούμι, σπανάκι και άγριο ρύζι","Κουνουπίδι (100γρ), Χαλούμι (70γρ), Άγριο ρύζι (180γρ)","8,50€","7,90€","-0,60€"
130-3,"Spicy κουνουπίδι με χαλούμι, σπανάκι και άγριο ρύζι","Κουνουπίδι (120γρ), Χαλούμι (100γρ), Άγριο ρύζι (180γρ)","8,90€","8,50€","-0,40€"
131-1,Σούπα μανιταριών βελουτέ με σπιτικά κρουτόν,"Σούπα (300γρ), Κρουτόν (20γρ)","9,90€","11,50€","1,60€"
131-2,Σούπα μανιταριών βελουτέ με σπιτικά κρουτόν,"Σούπα (350γρ), Κρουτόν (20γρ)","10,90€","12,50€","1,60€"
131-3,Σούπα μανιταριών βελουτέ με σπιτικά κρουτόν,"Σούπα (400γρ), Κρουτόν (20γρ)","11,90€","13,50€","1,60€"
132-2,Μαυρομάτικα φασόλια κοκκινιστά με σπανάκι και φέτα light,"Μαυρομάτικα φασόλια (250γρ), Φέτα light (60γρ)","7,50€","7,40€","-0,10€"
132-4,Μαυρομάτικα φασόλια κοκκινιστά με σπανάκι και φέτα light,"Μαυρομάτικα φασόλια (350γρ), Φέτα light (60γρ)","8,50€","8,40€","-0,10€"
132-6,Μαυρομάτικα φασόλια κοκκινιστά με σπανάκι και φέτα light,"Μαυρομάτικα φασόλια (450γρ), Φέτα light (30γρ)","8,50€","8,40€","-0,10€"
132-8,Μαυρομάτικα φασόλια κοκκινιστά με σπανάκι και φέτα light,"Μαυρομάτικα φασόλια (450γρ), Φέτα light (90γρ)","9,50€","9,40€","-0,10€"
132-9,Μαυρομάτικα φασόλια κοκκινιστά με σπανάκι και φέτα light,"Μαυρομάτικα φασόλια (500γρ), Φέτα light (60γρ)","9,50€","9,40€","-0,10€"
135-1,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (120γρ), Άγριο ρύζι (60γρ)","10,50€","9,90€","-0,60€"
135-2,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (120γρ), Άγριο ρύζι (120γρ)","10,90€","10,40€","-0,50€"
135-3,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (120γρ), Άγριο ρύζι (180γρ)","11,50€","10,90€","-0,60€"
135-4,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (150γρ), Άγριο ρύζι (60γρ)","11,50€","10,90€","-0,60€"
135-5,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (150γρ), Άγριο ρύζι (120γρ)","11,90€","11,40€","-0,50€"
135-6,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (150γρ), Άγριο ρύζι (180γρ)","12,50€","11,90€","-0,60€"
135-7,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (180γρ), Άγριο ρύζι (120γρ)","12,50€","11,90€","-0,60€"
135-8,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (180γρ), Άγριο ρύζι (180γρ)","12,90€","12,40€","-0,50€"
135-9,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (180γρ), Άγριο ρύζι (240γρ)","13,50€","12,90€","-0,60€"
136-1,Μοσχαρίσια κεφτεδάκια με πατάτες φούρνου και σάλτσα μουστάρδας,"Κεφτεδάκια (120γρ), Πατάτες φούρνου (80γρ)","8,50€","7,90€","-0,60€"
136-2,Μοσχαρίσια κεφτεδάκια με πατάτες φούρνου και σάλτσα μουστάρδας,"Κεφτεδάκια (120γρ), Πατάτες φούρνου (160γρ)","8,90€","8,40€","-0,50€"
