Κωδικός,Παλιός τίτλος,Νέος τίτλος
39,"Fitpal Bar με αμυγδαλοβούτυρο, μαύρη σοκολάτα",Fitpal Bar με αμυγδαλοβούτυρο και μαύρη σοκολάτα
4,Ομελέτα με βασιλομανίτατα,Ομελέτα φούρνου με βασιλομανίταρα
40,"Fitpal Bar με φυστικοβούτυρο, μαύρη σοκολάτα",Fitpal Bar με φυστικοβούτυρο και μαύρη σοκολάτα
46,Sugar free Chocolate cake,Sugar free chocolate cake
48,Sugar free cake βανίλιας με σοκολάτα,Sugar free cake βανίλιας με σταγόνες μαύρης σοκολάτας
49,Bread omellette sandwich,Bread omellette sandwich με ψωμί ολικής
5,Roast Beef Sandwich με ψωμί ολικής,Roast Beef Sandwich με ψωμί ολικής και γραβίερα light
51,Ισπανική ομελέτα με λαχανικά,Ισπανική ομελέτα φούρνου με λαχανικά
57,Cake με φρούτα του δάσους,Sugar free cake με φρούτα του δάσους
60,Vegan cake με χουρμάδες,Vegan sugar free cake με χουρμάδες
62,Tofu Toast με guacamole,Tofu Toast με guacamole με ψωμί ολικής
7,Sandwich με brioche και τονοσαλάτα,Brioche γεμιστό με τονοσαλάτα
73,"Σαλάτα με μανιτάρια, χόρτα και φυστίκι Αιγίνης","Σαλάτα με μανιτάρια, φέτα light, χόρτα και φυστίκι Αιγίνης"
76,"Σαλάτα παντζάρια, κατσικίσιο τυρί και αβοκάντο","Σαλάτα με παντζάρια, κατσικίσιο τυρί και αβοκάντο"
79,"Σαλάτα με καπνιστό σολομό αβοκάντο, baby σπανάκι",Σαλάτα με καπνιστό σολομό αβοκάντο και baby σπανάκι
8,Τορτίγια ολικής με κοτοσαλάτα,"Wrap ολικής με κοτοσαλάτα, καλαμπόκι, αμύγδαλα και γιαούρτι 2%"
84,Σαλάτα κινόα με μπρόκολο και κουνουπίδι,"Σαλάτα κινόα με μπρόκολο, κουνουπίδι και χούμους"
9,Τορτίγια ολικής με τονοσαλάτα και sweet chili,Wrap ολικής με τονοσαλάτα και sweet chili
99,Φακόσαλατα με φαγόπυρο με κατίκι Δομοκού,"Φακόσαλατα με φαγόπυρο, ψητή γλυκοπατάτα και κατίκι Δομοκού"
